gene	ensembl_gene_id	gencode_id	whole_blood_median_tpm
DHX33	ENSG00000005100	ENSG00000005100.12	1.34434
MEOX1	ENSG00000005102	ENSG00000005102.12	0.297988
LIG3	ENSG00000005156	ENSG00000005156.11	3.04086
RPAP3	ENSG00000005175	ENSG00000005175.9	3.17899
ACSM3	ENSG00000005187	ENSG00000005187.11	0.432008
AC004381.6	ENSG00000005189	ENSG00000005189.19	0.485489
CIAPIN1	ENSG00000005194	ENSG00000005194.14	10.2941
SPPL2B	ENSG00000005206	ENSG00000005206.16	11.2206
COPZ2	ENSG00000005243	ENSG00000005243.9	1.2101
PRKAR2B	ENSG00000005249	ENSG00000005249.12	4.91025
CREBBP	ENSG00000005339	ENSG00000005339.14	15.8257
MPO	ENSG00000005381	ENSG00000005381.7	21.2803
PON1	ENSG00000005421	ENSG00000005421.8	0
GCFC2	ENSG00000005436	ENSG00000005436.13	0.896403
CROT	ENSG00000005469	ENSG00000005469.11	0.813036
ABCB4	ENSG00000005471	ENSG00000005471.15	0.188954
KMT2E	ENSG00000005483	ENSG00000005483.20	13.1618
RHBDD2	ENSG00000005486	ENSG00000005486.16	63.1688
SOX8	ENSG00000005513	ENSG00000005513.9	0.289198
IBTK	ENSG00000005700	ENSG00000005700.14	1.88391
ZNF195	ENSG00000005801	ENSG00000005801.16	1.39661
MYCBP2	ENSG00000005810	ENSG00000005810.17	2.9889
FBXL3	ENSG00000005812	ENSG00000005812.10	8.9531
PDK2	ENSG00000005882	ENSG00000005882.11	4.03639
ITGA3	ENSG00000005884	ENSG00000005884.17	0.667385
GDE1	ENSG00000006007	ENSG00000006007.11	28.5008
C19orf60	ENSG00000006015	ENSG00000006015.17	35.0182
CRLF1	ENSG00000006016	ENSG00000006016.10	0.242316
OSBPL7	ENSG00000006025	ENSG00000006025.11	5.47999
TMEM98	ENSG00000006042	ENSG00000006042.11	0.0835047
YBX2	ENSG00000006047	ENSG00000006047.12	0.0937641
MAP3K14	ENSG00000006062	ENSG00000006062.14	9.84982
AP2B1	ENSG00000006125	ENSG00000006125.17	29.8668
ZNF263	ENSG00000006194	ENSG00000006194.9	5.97882
SPATA20	ENSG00000006282	ENSG00000006282.20	5.82966
TNFRSF12A	ENSG00000006327	ENSG00000006327.13	6.22212
MAP3K9	ENSG00000006432	ENSG00000006432.15	0.300757
RALA	ENSG00000006451	ENSG00000006451.7	4.75141
BAIAP2L1	ENSG00000006453	ENSG00000006453.13	0.4441
KDM7A	ENSG00000006459	ENSG00000006459.10	10.2377
AGK	ENSG00000006530	ENSG00000006530.15	2.90896
ALDH3B1	ENSG00000006534	ENSG00000006534.15	36.4228
TTC22	ENSG00000006555	ENSG00000006555.10	1.56891
PHTF2	ENSG00000006576	ENSG00000006576.16	2.02556
FARP2	ENSG00000006607	ENSG00000006607.13	0.591063
GGCT	ENSG00000006625	ENSG00000006625.17	3.37375
DBF4	ENSG00000006634	ENSG00000006634.7	1.77012
TBXA2R	ENSG00000006638	ENSG00000006638.11	1.38851
IFRD1	ENSG00000006652	ENSG00000006652.13	21.4425
COX10	ENSG00000006695	ENSG00000006695.10	2.7565
PAF1	ENSG00000006712	ENSG00000006712.14	45.9397
VPS41	ENSG00000006715	ENSG00000006715.15	5.6408
ARHGAP44	ENSG00000006740	ENSG00000006740.16	0.0661278
ELAC2	ENSG00000006744	ENSG00000006744.18	10.5382
ARSD	ENSG00000006756	ENSG00000006756.15	3.97768
PNPLA4	ENSG00000006757	ENSG00000006757.11	1.21905
ADIPOR2	ENSG00000006831	ENSG00000006831.9	15.7517
CDKL3	ENSG00000006837	ENSG00000006837.11	0.0710979
PRSS21	ENSG00000007038	ENSG00000007038.10	0.986059
MARK4	ENSG00000007047	ENSG00000007047.14	11.4395
CCDC124	ENSG00000007080	ENSG00000007080.10	38.1681
CEACAM21	ENSG00000007129	ENSG00000007129.17	17.9554
PAFAH1B1	ENSG00000007168	ENSG00000007168.12	26.0264
KIAA0100	ENSG00000007202	ENSG00000007202.14	14.6924
GAS7	ENSG00000007237	ENSG00000007237.18	38.0419
TRAPPC6A	ENSG00000007255	ENSG00000007255.10	21.299
MATK	ENSG00000007264	ENSG00000007264.14	11.6145
CEACAM7	ENSG00000007306	ENSG00000007306.14	0.0325975
ST7L	ENSG00000007341	ENSG00000007341.18	1.14958
RPUSD1	ENSG00000007376	ENSG00000007376.7	13.714
RHBDF1	ENSG00000007384	ENSG00000007384.15	0.388168
LUC7L	ENSG00000007392	ENSG00000007392.16	11.2864
CACNA2D2	ENSG00000007402	ENSG00000007402.11	0.868236
BAIAP3	ENSG00000007516	ENSG00000007516.13	4.26102
TSR3	ENSG00000007520	ENSG00000007520.3	30.2392
PIGQ	ENSG00000007541	ENSG00000007541.16	8.22466
CRAMP1	ENSG00000007545	ENSG00000007545.15	2.7595
TEAD3	ENSG00000007866	ENSG00000007866.19	0.550895
DNAJC11	ENSG00000007923	ENSG00000007923.15	3.20238
MYLIP	ENSG00000007944	ENSG00000007944.14	26.5056
PSMB1	ENSG00000008018	ENSG00000008018.8	44.568
SYN1	ENSG00000008056	ENSG00000008056.13	0.854946
JARID2	ENSG00000008083	ENSG00000008083.13	10.5223
CDKL5	ENSG00000008086	ENSG00000008086.11	0.906921
CDK11A	ENSG00000008128	ENSG00000008128.22	14.1976
NADK	ENSG00000008130	ENSG00000008130.15	112.687
DLEC1	ENSG00000008226	ENSG00000008226.19	1.32466
CYTH3	ENSG00000008256	ENSG00000008256.15	2.17243
ADAM22	ENSG00000008277	ENSG00000008277.14	0.153488
CYB561	ENSG00000008283	ENSG00000008283.15	2.25261
SPAG9	ENSG00000008294	ENSG00000008294.20	11.8259
CELSR3	ENSG00000008300	ENSG00000008300.16	0.346798
AASS	ENSG00000008311	ENSG00000008311.14	0.155503
PLEKHG6	ENSG00000008323	ENSG00000008323.15	0.183053
SS18L2	ENSG00000008324	ENSG00000008324.11	11.0442
MPND	ENSG00000008382	ENSG00000008382.15	9.06096
MGST1	ENSG00000008394	ENSG00000008394.12	4.12878
CRY1	ENSG00000008405	ENSG00000008405.11	1.61247
PGLYRP1	ENSG00000008438	ENSG00000008438.4	342.15
NFIX	ENSG00000008441	ENSG00000008441.16	5.79416
ST3GAL1	ENSG00000008513	ENSG00000008513.14	19.8729
MMP25	ENSG00000008516	ENSG00000008516.16	506.212
IL32	ENSG00000008517	ENSG00000008517.16	52.7974
MAPK8IP2	ENSG00000008735	ENSG00000008735.13	0.17517
MED24	ENSG00000008838	ENSG00000008838.19	7.42014
RHOBTB2	ENSG00000008853	ENSG00000008853.16	1.56066
SEC62	ENSG00000008952	ENSG00000008952.16	17.7242
RPS20	ENSG00000008988	ENSG00000008988.9	144.171
CSDE1	ENSG00000009307	ENSG00000009307.15	74.1541
UBE3C	ENSG00000009335	ENSG00000009335.17	6.34044
REV3L	ENSG00000009413	ENSG00000009413.15	0.941329
TENM1	ENSG00000009694	ENSG00000009694.13	0.983972
FAM76A	ENSG00000009780	ENSG00000009780.15	2.01873
TRAF3IP3	ENSG00000009790	ENSG00000009790.14	44.4718
POMT2	ENSG00000009830	ENSG00000009830.11	1.42917
VTA1	ENSG00000009844	ENSG00000009844.15	3.1538
MLXIPL	ENSG00000009950	ENSG00000009950.15	0.192922
BAZ1B	ENSG00000009954	ENSG00000009954.10	6.44233
RANBP9	ENSG00000010017	ENSG00000010017.12	16.5385
ETV7	ENSG00000010030	ENSG00000010030.13	0.703121
SPRTN	ENSG00000010072	ENSG00000010072.15	1.29355
METTL13	ENSG00000010165	ENSG00000010165.19	5.24399
DYRK4	ENSG00000010219	ENSG00000010219.13	1.6898
UQCRC1	ENSG00000010256	ENSG00000010256.10	82.6028
STARD3NL	ENSG00000010270	ENSG00000010270.13	10.9521
CD9	ENSG00000010278	ENSG00000010278.12	7.81473
HHATL	ENSG00000010282	ENSG00000010282.14	0.223377
NCAPD2	ENSG00000010292	ENSG00000010292.12	10.3656
IFFO1	ENSG00000010295	ENSG00000010295.19	21.2044
GIPR	ENSG00000010310	ENSG00000010310.8	0.959234
STAB1	ENSG00000010327	ENSG00000010327.10	40.7893
FUZ	ENSG00000010361	ENSG00000010361.13	7.70789
SLC6A13	ENSG00000010379	ENSG00000010379.15	0.114211
ZNF200	ENSG00000010539	ENSG00000010539.11	5.50937
CD4	ENSG00000010610	ENSG00000010610.9	31.1719
LRRC23	ENSG00000010626	ENSG00000010626.14	1.50308
BTK	ENSG00000010671	ENSG00000010671.15	28.4877
HFE	ENSG00000010704	ENSG00000010704.18	0.806209
SCMH1	ENSG00000010803	ENSG00000010803.16	2.79696
FYN	ENSG00000010810	ENSG00000010810.17	23.9369
HIVEP2	ENSG00000010818	ENSG00000010818.9	2.20617
ELOA	ENSG00000011007	ENSG00000011007.12	5.82004
LYPLA2	ENSG00000011009	ENSG00000011009.10	45.1949
CLCN6	ENSG00000011021	ENSG00000011021.21	3.17555
MRC2	ENSG00000011028	ENSG00000011028.13	1.75969
TSPAN9	ENSG00000011105	ENSG00000011105.12	1.1506
BTBD7	ENSG00000011114	ENSG00000011114.14	1.64398
APBA3	ENSG00000011132	ENSG00000011132.11	13.2234
ABHD5	ENSG00000011198	ENSG00000011198.7	57.5617
ANOS1	ENSG00000011201	ENSG00000011201.11	0.0914821
MBTD1	ENSG00000011258	ENSG00000011258.15	2.50231
UTP18	ENSG00000011260	ENSG00000011260.13	14.3437
RNF216	ENSG00000011275	ENSG00000011275.18	12.6483
TTC19	ENSG00000011295	ENSG00000011295.15	2.64506
PTBP1	ENSG00000011304	ENSG00000011304.19	44.0974
SYT7	ENSG00000011347	ENSG00000011347.9	0.0436294
LARS2	ENSG00000011376	ENSG00000011376.9	1.3969
PIK3C2A	ENSG00000011405	ENSG00000011405.13	1.77305
PLAUR	ENSG00000011422	ENSG00000011422.11	86.6632
ANLN	ENSG00000011426	ENSG00000011426.10	0.397361
RABGAP1	ENSG00000011454	ENSG00000011454.16	3.8259
DCN	ENSG00000011465	ENSG00000011465.16	0.410535
PPP5C	ENSG00000011485	ENSG00000011485.14	8.96832
CEP68	ENSG00000011523	ENSG00000011523.13	2.98116
MAP4K3	ENSG00000011566	ENSG00000011566.14	0.513157
ZBTB32	ENSG00000011590	ENSG00000011590.13	1.18555
TYROBP	ENSG00000011600	ENSG00000011600.11	1786.29
TMEM159	ENSG00000011638	ENSG00000011638.10	3.66196
BRCA1	ENSG00000012048	ENSG00000012048.20	0.882597
ERCC1	ENSG00000012061	ENSG00000012061.15	11.9107
CD22	ENSG00000012124	ENSG00000012124.16	11.6031
PRICKLE3	ENSG00000012211	ENSG00000012211.12	5.72431
LTF	ENSG00000012223	ENSG00000012223.12	125.22
EXTL3	ENSG00000012232	ENSG00000012232.8	12.0576
ELOVL5	ENSG00000012660	ENSG00000012660.13	39.8609
ALOX5	ENSG00000012779	ENSG00000012779.10	284.285
UBR7	ENSG00000012963	ENSG00000012963.14	6.15636
MAP4K5	ENSG00000012983	ENSG00000012983.11	2.49479
MAN2B2	ENSG00000013288	ENSG00000013288.8	11.9465
CLDN11	ENSG00000013297	ENSG00000013297.10	0.0799212
SLC25A39	ENSG00000013306	ENSG00000013306.15	760.491
MVP	ENSG00000013364	ENSG00000013364.18	145.204
NUB1	ENSG00000013374	ENSG00000013374.15	15.6449
PGM3	ENSG00000013375	ENSG00000013375.15	0.915205
RWDD2A	ENSG00000013392	ENSG00000013392.7	0.427659
POLR3B	ENSG00000013503	ENSG00000013503.9	0.895589
ANGEL1	ENSG00000013523	ENSG00000013523.9	2.09328
RNF14	ENSG00000013561	ENSG00000013561.17	4.77066
DNASE1L1	ENSG00000013563	ENSG00000013563.13	14.8003
DDX11	ENSG00000013573	ENSG00000013573.16	3.10466
HEBP1	ENSG00000013583	ENSG00000013583.8	8.3286
GPRC5A	ENSG00000013588	ENSG00000013588.7	0.0949249
MAMLD1	ENSG00000013619	ENSG00000013619.13	0.187263
CD6	ENSG00000013725	ENSG00000013725.14	19.1403
TACC3	ENSG00000013810	ENSG00000013810.18	80.7524
UFL1	ENSG00000014123	ENSG00000014123.9	2.1385
POLA2	ENSG00000014138	ENSG00000014138.8	4.22292
ZC3H3	ENSG00000014164	ENSG00000014164.6	31.9999
CAPN1	ENSG00000014216	ENSG00000014216.15	74.2829
ACPP	ENSG00000014257	ENSG00000014257.15	5.23355
MDH1	ENSG00000014641	ENSG00000014641.17	15.7746
SLC30A9	ENSG00000014824	ENSG00000014824.13	2.54323
COX15	ENSG00000014919	ENSG00000014919.12	10.3406
CCDC88C	ENSG00000015133	ENSG00000015133.18	10.6279
YAF2	ENSG00000015153	ENSG00000015153.14	1.31859
ZMYND11	ENSG00000015171	ENSG00000015171.19	2.50992
DPEP1	ENSG00000015413	ENSG00000015413.9	0.05106
MATR3	ENSG00000015479	ENSG00000015479.18	1.27245
XYLT2	ENSG00000015532	ENSG00000015532.9	5.50226
NUDCD3	ENSG00000015676	ENSG00000015676.17	4.89249
CLCA4	ENSG00000016602	ENSG00000016602.9	0.0261903
ATP2C1	ENSG00000017260	ENSG00000017260.19	5.08038
RALBP1	ENSG00000017797	ENSG00000017797.12	19.21
RUFY3	ENSG00000018189	ENSG00000018189.12	1.31453
SLC11A1	ENSG00000018280	ENSG00000018280.16	495.518
WWTR1	ENSG00000018408	ENSG00000018408.14	0.123122
AGPS	ENSG00000018510	ENSG00000018510.13	2.6959
CXorf56	ENSG00000018610	ENSG00000018610.13	4.25283
ATP1A2	ENSG00000018625	ENSG00000018625.14	0.263955
TTC27	ENSG00000018699	ENSG00000018699.11	1.69695
ZNF582	ENSG00000018869	ENSG00000018869.16	0.346876
VSIG2	ENSG00000019102	ENSG00000019102.11	2.44865
PHLDB1	ENSG00000019144	ENSG00000019144.18	0.22173
MARCO	ENSG00000019169	ENSG00000019169.10	16.7906
PRDM11	ENSG00000019485	ENSG00000019485.13	0.298433
HGF	ENSG00000019991	ENSG00000019991.15	1.38309
ZRANB1	ENSG00000019995	ENSG00000019995.6	10.1589
NCDN	ENSG00000020129	ENSG00000020129.15	4.95004
ADGRA2	ENSG00000020181	ENSG00000020181.17	0.424563
ZFP64	ENSG00000020256	ENSG00000020256.19	0.622601
MNAT1	ENSG00000020426	ENSG00000020426.10	1.064
SAMD4A	ENSG00000020577	ENSG00000020577.13	0.226829
MRE11	ENSG00000020922	ENSG00000020922.12	2.75878
PLEKHB1	ENSG00000021300	ENSG00000021300.13	2.47209
SERPINB1	ENSG00000021355	ENSG00000021355.12	274.991
SLC7A9	ENSG00000021488	ENSG00000021488.12	0.0856584
SPAST	ENSG00000021574	ENSG00000021574.11	4.29873
OSBPL5	ENSG00000021762	ENSG00000021762.19	7.57326
AQR	ENSG00000021776	ENSG00000021776.10	3.087
CPS1	ENSG00000021826	ENSG00000021826.14	0.0329887
C8B	ENSG00000021852	ENSG00000021852.12	0.0399918
RTFDC1	ENSG00000022277	ENSG00000022277.12	94.9454
NLRP2	ENSG00000022556	ENSG00000022556.15	1.54699
SLC45A4	ENSG00000022567	ENSG00000022567.9	19.9246
ZNF839	ENSG00000022976	ENSG00000022976.15	4.17274
ZDHHC6	ENSG00000023041	ENSG00000023041.11	10.1372
GRAMD1B	ENSG00000023171	ENSG00000023171.16	0.821674
RNH1	ENSG00000023191	ENSG00000023191.16	32.6438
NDUFS1	ENSG00000023228	ENSG00000023228.13	3.43826
RB1CC1	ENSG00000023287	ENSG00000023287.12	5.35665
ERP44	ENSG00000023318	ENSG00000023318.7	23.6802
ALAS1	ENSG00000023330	ENSG00000023330.14	34.9983
BIRC3	ENSG00000023445	ENSG00000023445.13	4.71437
AKAP11	ENSG00000023516	ENSG00000023516.8	1.4522
GLRX2	ENSG00000023572	ENSG00000023572.8	3.52439
SNAPC1	ENSG00000023608	ENSG00000023608.4	1.66323
DERA	ENSG00000023697	ENSG00000023697.12	5.73998
ABCC2	ENSG00000023839	ENSG00000023839.10	1.18057
DEF6	ENSG00000023892	ENSG00000023892.10	128.359
PLEKHO1	ENSG00000023902	ENSG00000023902.13	40.3423
GCLM	ENSG00000023909	ENSG00000023909.9	4.37458
UBR2	ENSG00000024048	ENSG00000024048.10	19.6465
EHD2	ENSG00000024422	ENSG00000024422.11	0.62817
CCDC28A	ENSG00000024862	ENSG00000024862.17	39.7132
RRAGD	ENSG00000025039	ENSG00000025039.14	8.18978
HSF2	ENSG00000025156	ENSG00000025156.12	2.46148
PHF20	ENSG00000025293	ENSG00000025293.16	7.68601
NR1H3	ENSG00000025434	ENSG00000025434.18	2.51346
TYMP	ENSG00000025708	ENSG00000025708.13	330.605
NCAPH2	ENSG00000025770	ENSG00000025770.18	14.9734
TOMM34	ENSG00000025772	ENSG00000025772.7	6.68088
SEC63	ENSG00000025796	ENSG00000025796.13	6.84086
VIM	ENSG00000026025	ENSG00000026025.15	526.315
FAS	ENSG00000026103	ENSG00000026103.21	10.7432
RNASET2	ENSG00000026297	ENSG00000026297.15	156.037
CD44	ENSG00000026508	ENSG00000026508.17	122.741
AGPAT4	ENSG00000026652	ENSG00000026652.13	3.10601
BTN3A1	ENSG00000026950	ENSG00000026950.16	32.6903
MIPEP	ENSG00000027001	ENSG00000027001.9	0.767685
PRKCH	ENSG00000027075	ENSG00000027075.14	11.3161
INSRR	ENSG00000027644	ENSG00000027644.4	0.0274225
IFNGR1	ENSG00000027697	ENSG00000027697.13	198.265
B4GALT7	ENSG00000027847	ENSG00000027847.13	9.49807
VRK2	ENSG00000028116	ENSG00000028116.16	2.4657
VEZT	ENSG00000028203	ENSG00000028203.17	1.1288
POU2F2	ENSG00000028277	ENSG00000028277.21	10.2422
BRD9	ENSG00000028310	ENSG00000028310.17	7.40956
SNX1	ENSG00000028528	ENSG00000028528.14	20.5657
TBPL1	ENSG00000028839	ENSG00000028839.9	6.34584
ARNTL2	ENSG00000029153	ENSG00000029153.14	0.123243
SLC39A9	ENSG00000029364	ENSG00000029364.11	7.88506
ANK1	ENSG00000029534	ENSG00000029534.19	5.21609
TFB1M	ENSG00000029639	ENSG00000029639.10	1.80867
RABEP1	ENSG00000029725	ENSG00000029725.16	5.89203
HMGB3	ENSG00000029993	ENSG00000029993.14	1.26333
NUP160	ENSG00000030066	ENSG00000030066.13	2.44032
BAK1	ENSG00000030110	ENSG00000030110.12	22.9522
IKZF2	ENSG00000030419	ENSG00000030419.16	0.439977
GRN	ENSG00000030582	ENSG00000030582.17	300.905
FAM13B	ENSG00000031003	ENSG00000031003.10	5.95166
ARHGAP31	ENSG00000031081	ENSG00000031081.10	1.19106
CENPQ	ENSG00000031691	ENSG00000031691.6	0.535288
RANBP3	ENSG00000031823	ENSG00000031823.14	19.318
ARID4A	ENSG00000032219	ENSG00000032219.18	5.04963
TSSC1	ENSG00000032389	ENSG00000032389.12	3.86617
PNPLA6	ENSG00000032444	ENSG00000032444.15	49.754
IFT88	ENSG00000032742	ENSG00000032742.17	0.657965
ALG1	ENSG00000033011	ENSG00000033011.11	3.66025
ZCCHC8	ENSG00000033030	ENSG00000033030.13	3.38423
ABCF2	ENSG00000033050	ENSG00000033050.7	8.17417
CHPF2	ENSG00000033100	ENSG00000033100.16	21.2466
FUT8	ENSG00000033170	ENSG00000033170.16	0.998862
UBA6	ENSG00000033178	ENSG00000033178.12	3.15725
GAB2	ENSG00000033327	ENSG00000033327.12	40.7321
ATP6V0A1	ENSG00000033627	ENSG00000033627.16	22.1001
PIAS1	ENSG00000033800	ENSG00000033800.13	18.0911
SLC4A7	ENSG00000033867	ENSG00000033867.16	1.2245
APBA2	ENSG00000034053	ENSG00000034053.14	5.77307
MAP2K3	ENSG00000034152	ENSG00000034152.18	171.079
ASTE1	ENSG00000034533	ENSG00000034533.11	2.07544
RNF19A	ENSG00000034677	ENSG00000034677.12	9.32788
PEX3	ENSG00000034693	ENSG00000034693.14	1.40309
GABARAPL2	ENSG00000034713	ENSG00000034713.7	77.0879
MYOC	ENSG00000034971	ENSG00000034971.16	0.0816102
SH3YL1	ENSG00000035115	ENSG00000035115.21	0.829579
FAM136A	ENSG00000035141	ENSG00000035141.7	6.52935
VCL	ENSG00000035403	ENSG00000035403.17	18.5795
DEPDC1B	ENSG00000035499	ENSG00000035499.12	0.283027
DAPK2	ENSG00000035664	ENSG00000035664.11	9.19147
NSMAF	ENSG00000035681	ENSG00000035681.7	11.85
ADSS	ENSG00000035687	ENSG00000035687.9	13.0891
STAP1	ENSG00000035720	ENSG00000035720.7	2.26576
TIMP2	ENSG00000035862	ENSG00000035862.12	53.0942
RFC1	ENSG00000035928	ENSG00000035928.15	4.1454
TBC1D23	ENSG00000036054	ENSG00000036054.12	5.18061
CUL3	ENSG00000036257	ENSG00000036257.12	7.82579
MYOM2	ENSG00000036448	ENSG00000036448.9	1.00347
ZZZ3	ENSG00000036549	ENSG00000036549.12	0.844963
TUBG2	ENSG00000037042	ENSG00000037042.8	3.76992
RPL26L1	ENSG00000037241	ENSG00000037241.7	3.1685
FLT4	ENSG00000037280	ENSG00000037280.15	0.578054
NSUN2	ENSG00000037474	ENSG00000037474.14	9.77319
FBXO42	ENSG00000037637	ENSG00000037637.10	5.6842
MFAP3	ENSG00000037749	ENSG00000037749.11	1.42152
MRI1	ENSG00000037757	ENSG00000037757.13	4.00059
AGA	ENSG00000038002	ENSG00000038002.8	7.29145
PI4K2B	ENSG00000038210	ENSG00000038210.12	1.7398
BOD1L1	ENSG00000038219	ENSG00000038219.12	7.03991
EDC4	ENSG00000038358	ENSG00000038358.14	17.5334
TRIO	ENSG00000038382	ENSG00000038382.18	1.34139
VCAN	ENSG00000038427	ENSG00000038427.15	29.4411
CLEC16A	ENSG00000038532	ENSG00000038532.14	4.39441
MSR1	ENSG00000038945	ENSG00000038945.14	1.55224
CDH1	ENSG00000039068	ENSG00000039068.18	0.214911
SKIV2L2	ENSG00000039123	ENSG00000039123.15	3.98533
ZFYVE16	ENSG00000039319	ENSG00000039319.16	4.84264
FAM65A	ENSG00000039523	ENSG00000039523.19	16.4093
RAI14	ENSG00000039560	ENSG00000039560.13	0.0699813
PNKP	ENSG00000039650	ENSG00000039650.11	25.2513
PHLPP2	ENSG00000040199	ENSG00000040199.18	0.411888
SPDL1	ENSG00000040275	ENSG00000040275.16	0.519087
STAU2	ENSG00000040341	ENSG00000040341.17	2.31773
PQLC2	ENSG00000040487	ENSG00000040487.12	5.45261
CTNS	ENSG00000040531	ENSG00000040531.14	6.62048
RTN4R	ENSG00000040608	ENSG00000040608.13	0.347044
PHF23	ENSG00000040633	ENSG00000040633.12	30.5023
INPP4A	ENSG00000040933	ENSG00000040933.15	9.95813
RAB27B	ENSG00000041353	ENSG00000041353.9	0.613535
PSMA4	ENSG00000041357	ENSG00000041357.15	8.09457
LSG1	ENSG00000041802	ENSG00000041802.10	5.37471
TNC	ENSG00000041982	ENSG00000041982.15	0.0944252
THAP3	ENSG00000041988	ENSG00000041988.15	5.63377
FAM65C	ENSG00000042062	ENSG00000042062.11	1.6503
TDP1	ENSG00000042088	ENSG00000042088.13	2.36716
AIFM2	ENSG00000042286	ENSG00000042286.14	0.975514
SPATA7	ENSG00000042317	ENSG00000042317.16	0.342058
MED17	ENSG00000042429	ENSG00000042429.11	2.95677
RETSAT	ENSG00000042445	ENSG00000042445.13	6.92135
CAPG	ENSG00000042493	ENSG00000042493.15	133.79
AP2S1	ENSG00000042753	ENSG00000042753.11	75.7969
TG	ENSG00000042832	ENSG00000042832.11	0.830702
ADAM28	ENSG00000042980	ENSG00000042980.12	1.30204
DCUN1D1	ENSG00000043093	ENSG00000043093.13	3.65945
JADE2	ENSG00000043143	ENSG00000043143.20	10.1653
LCP2	ENSG00000043462	ENSG00000043462.11	91.3423
TRIT1	ENSG00000043514	ENSG00000043514.15	2.96542
ADRB1	ENSG00000043591	ENSG00000043591.5	0.0938949
CUL7	ENSG00000044090	ENSG00000044090.8	4.11091
CTNNA1	ENSG00000044115	ENSG00000044115.20	25.6627
CNTLN	ENSG00000044459	ENSG00000044459.14	0.355132
GEMIN8	ENSG00000046647	ENSG00000046647.13	2.58636
OFD1	ENSG00000046651	ENSG00000046651.14	6.11528
GPM6B	ENSG00000046653	ENSG00000046653.14	0.176279
WDR37	ENSG00000047056	ENSG00000047056.14	10.777
